the_geom,OBJECTID,Status,Score,MATCH_TYPE,Match_addr,Side,User_fld,Addr_type,Full Address,B1_PER_ID1,B1_PER_ID2,B1_PER_ID3,B1_PER_GROUP,SUBDIVISIONNAME,PERMITNUM,PERMITTYPE,B1_APPL_STATUS,B1_HSE_NBR_START,B1_HSE_FRAC_NBR_START,B1_STR_DIR,B1_STR_NAME,B1_STR_SUFFIX,B1_STR_SUFFIX_DIR,B1_UNIT_TYPE,B1_WORK_DESC,ADDRESS,SEQ,LINK,WEB,StPreDir,Country,X,StPreType,State,SubAddressType,StateAbbr,StType,Xmax,Distance,StDir,DisplayY,City,AddNum,StName,ZIP,LangCode,Ymax,B1_UNIT_START,DisplayX,ZIP4,StAddr,Y,Xmin,SubAddressUnit,Ymin,County
,"2,074",U,0,A,,,,,,17CAP,0,000JT,Building,,SP02144,Stock Plan,Approved,,,,,,,,"""Pendleton""
BMISC160534",,,&capID1=17CAP&capID2=00000&capID3=000JT,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=17CAP&capID2=00000&capID3=000JT&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"2,115",U,0,A,,,,,,17CAP,0,000FT,Building,,SP02000,Stock Plan,Approved,,,,,,,,,,,&capID1=17CAP&capID2=00000&capID3=000FT,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=17CAP&capID2=00000&capID3=000FT&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,479,U,0,A,,,,,,17CAP,0,000DR,Building,,SP01926,Stock Plan,Approved,,,,,,,,,,,&capID1=17CAP&capID2=00000&capID3=000DR,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=17CAP&capID2=00000&capID3=000DR&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"2,334",U,0,A,,,,,,17CAP,0,0.00E+00,Building,,SP01939,Stock Plan,Approved,,,,,,,,,,,&capID1=17CAP&capID2=00000&capID3=000E4,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=17CAP&capID2=00000&capID3=000E4&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
POINT (-105.028823530746 40.561604668187),666,M,100,A,"2609 RIVERBEND CT, 80525",,63050001,SubAddress,,23RAL,0,471,Building,,B2302760,Commercial General Alteration,Issued Full,"2,609",,,RIVERBEND,CT,,,"Commercial Tenant Finish for a White Box Office of 1000 sq ft to perform structural support modifications to allow for the installation of a 10' x 10' over head door. 
Job Contact: Evan Smith (970) 682-4230",2609   RIVERBEND CT,,&capID1=23RAL&capID2=00000&capID3=00471,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23RAL&capID2=00000&capID3=00471&agencyCode=FTCOLLINS,,USA,"3,130,916.94",,,,,CT,0,0,,0,,2609,RIVERBEND,80525,,0,,0,,2609 RIVERBEND CT,"1,447,779.03",0,,0,
,"1,525",U,0,A,,,,,,22CAP,0,000HD,Building,Plan 6 Twain,SP02380,Stock Plan,Approved,,,,,,,,,,,&capID1=22CAP&capID2=00000&capID3=000HD,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22CAP&capID2=00000&capID3=000HD&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
POINT (-105.034461829173 40.596985396959),"1,264",M,100,A,"2329 ARBORWOOD LN, 80524",,700454921,SubAddress,,23RAL,0,782,Building,,B2304585,Residential General Alteration,Applied,"2,329",,,ARBORWOOD,LN,,,Installation of a 3.65 KW and 9 panel PV System,2329   ARBORWOOD LN,133,&capID1=23RAL&capID2=00000&capID3=00782,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23RAL&capID2=00000&capID3=00782&agencyCode=FTCOLLINS,,USA,"3,129,298.29",,,,,LN,0,0,,0,,2329,ARBORWOOD,80524,,0,,0,,2329 ARBORWOOD LN,"1,460,649.88",0,,0,
POINT (-105.077612873939 40.518352179624),"1,984",M,100,A,"156 W FAIRWAY LN, 80525",,700460860,SubAddress,,21COM,0,515,Building,FAIRWAY LANE SUBDIVISION,B2108895,Residential New Multi-Family,Routed for Review,156,,W,FAIRWAY,LN,,,"New 3 story, 31,242 sq. ft, 36 unit dwelling multi- family building (Type D). FWCLD. above 200 Amp electric services. Job Contact: Jon Steinway 970-381-3281",156  W FAIRWAY LN,61,&capID1=21COM&capID2=00000&capID3=00515,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21COM&capID2=00000&capID3=00515&agencyCode=FTCOLLINS,W,USA,"3,117,171.41",,,,,LN,0,0,,0,,156,FAIRWAY,80525,,0,1,0,,156 W FAIRWAY LN,"1,432,060.70",0,,0,
,"2,205",U,0,A,,,,,,22CAP,0,117,Building,WF2s - 4plex,SP02428,Stock Plan,Routed for Review,,,,,,,,,,,&capID1=22CAP&capID2=00000&capID3=00117,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22CAP&capID2=00000&capID3=00117&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
POINT (-105.113473073901 40.539748090506),37,M,100,A,"2018 KENT CT, 80526",,375720000,SubAddress,,23RAL,0,32,Building,,B2300261,Residential General Alteration,Applied,"2,018",,,KENT,CT,,,Installation of 6.0kW rooftop solar PV with 15 flush mounted panels.,2018   KENT CT,,&capID1=23RAL&capID2=00000&capID3=00032,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23RAL&capID2=00000&capID3=00032&agencyCode=FTCOLLINS,,USA,"3,107,432.35",,,,,CT,0,0,,0,,2018,KENT,80526,,0,,0,,2018 KENT CT,"1,439,702.79",0,,0,
,"1,553",U,0,A,,,,,,17CAP,0,000G3,Building,,SP02010,Stock Plan,Approved,,,,,,,,,,,&capID1=17CAP&capID2=00000&capID3=000G3,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=17CAP&capID2=00000&capID3=000G3&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,410,U,0,A,,,,,,18CAP,0,000AU,Building,Plan 2577,SP02210,Stock Plan,Approved,,,,,,,,SEE SP02224 FOR 2018 CODE.,,,&capID1=18CAP&capID2=00000&capID3=000AU,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=18CAP&capID2=00000&capID3=000AU&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"2,329",U,0,A,,,,,,17CAP,0,000J9,Building,Brindle,SP02124,Stock Plan,Approved,,,,,,,,"Brindle 
BMISC160049",,,&capID1=17CAP&capID2=00000&capID3=000J9,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=17CAP&capID2=00000&capID3=000J9&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"2,330",U,0,A,,,,,,22CAP,0,000K8,Building,Timberline,SP02397,Stock Plan,Routed for Review,,,,,,,,,,,&capID1=22CAP&capID2=00000&capID3=000K8,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22CAP&capID2=00000&capID3=000K8&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"1,465",U,0,A,,,,,,19CAP,0,000CW,Building,Triplex B3,SP02254,Stock Plan,Code Update Required,,,,,,,,New triplex townhouse building (Triplex B3) Approved - 2018 IRC review,,,&capID1=19CAP&capID2=00000&capID3=000CW,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=19CAP&capID2=00000&capID3=000CW&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"2,161",U,0,A,,,,,,17CAP,0,000JL,Building,Yellowstone,SP02136,Stock Plan,Approved,,,,,,,,"Yellowstone 
BMISC160301",,,&capID1=17CAP&capID2=00000&capID3=000JL,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=17CAP&capID2=00000&capID3=000JL&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"2,111",U,0,A,,,,,,18CAP,0,000AW,Building,Plan 2141,SP02212,Stock Plan,Approved,,,,,,,,Lennar Homes (formerly aka CalAtlantic Homes) - Plan 2141 - 2015 IRC Code Reviewed/Approved,,,&capID1=18CAP&capID2=00000&capID3=000AW,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=18CAP&capID2=00000&capID3=000AW&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"2,055",U,0,A,,,,,,22CAP,0,000OF,Building,Antero,SP02416,Stock Plan,Approved,,,,,,,,"***Changed energy path to UA/Rescheck. 
2021 code update",,,&capID1=22CAP&capID2=00000&capID3=000OF,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22CAP&capID2=00000&capID3=000OF&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"2,265",U,0,A,,,,,,22CAP,0,000EH,Building,X429,SP02368,Stock Plan,Approved,,,,,,,,2021 code review,,,&capID1=22CAP&capID2=00000&capID3=000EH,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22CAP&capID2=00000&capID3=000EH&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"2,331",U,0,A,,,,,,21CAP,0,000LC,Building,X306,SP02323,Stock Plan,Code Update Required,,,,,,,,,,,&capID1=21CAP&capID2=00000&capID3=000LC,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21CAP&capID2=00000&capID3=000LC&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"1,446",U,0,A,,,,,,17CAP,0,000KO,Building,Honey Locust,SP02175,Stock Plan,Approved,,,,,,,,"Honey Locust 
BMISC170208",,,&capID1=17CAP&capID2=00000&capID3=000KO,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=17CAP&capID2=00000&capID3=000KO&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"2,037",U,0,A,,,,,,20CAP,0,000I7,Building,Tabor - 1581.1,SP02286,Stock Plan,Code Update Required,,,,,,,,New Single Family Detached stock plan for 2018 IRC review (Tabor - 1581.1),,,&capID1=20CAP&capID2=00000&capID3=000I7,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=20CAP&capID2=00000&capID3=000I7&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
POINT (-105.054276454187 40.54042651266),"1,189",M,100,A,"1229 MANSFIELD DR, 80525",,81420000,SubAddress,,22RAL,0,7,Building,,B2200032,Residential General Alteration,Issued Full,"1,229",,,MANSFIELD,DR,,,"Residential remodel of 481 sf to include reconfigure non-structural walls in kitchen/dining area on main level and upper level master bathroom. Work to include reconfiguration of floor layout in kitchen, dining and master bathroom including all necessary plumbing, and electrical. Homeowner affidavit on file.",1229   MANSFIELD DR,,&capID1=22RAL&capID2=00000&capID3=00007,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22RAL&capID2=00000&capID3=00007&agencyCode=FTCOLLINS,,USA,"3,123,883.81",,,,,DR,0,0,,0,,1229,MANSFIELD,80525,,0,,0,,1229 MANSFIELD DR,"1,440,027.15",0,,0,
,"2,060",U,0,A,,,,,,17CAP,0,000DB,Building,,SP01910,Stock Plan,Approved,,,,,,,,,,,&capID1=17CAP&capID2=00000&capID3=000DB,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=17CAP&capID2=00000&capID3=000DB&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"2,333",U,0,A,,,,,,17CAP,0,000KZ,Building,Amsterdam - C,SP02186,Stock Plan,Approved,,,,,,,,Amsterdam- C  BMISC170392,,,&capID1=17CAP&capID2=00000&capID3=000KZ,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=17CAP&capID2=00000&capID3=000KZ&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"1,556",U,0,A,,,,,,17CAP,0,000G6,Building,,SP02013,Stock Plan,Approved,,,,,,,,,,,&capID1=17CAP&capID2=00000&capID3=000G6,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=17CAP&capID2=00000&capID3=000G6&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
,"2,337",U,0,A,,,,,,17CAP,0,000G1,Building,,SP02008,Stock Plan,Approved,,,,,,,,,,,&capID1=17CAP&capID2=00000&capID3=000G1,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=17CAP&capID2=00000&capID3=000G1&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
POINT (-105.038086491034 40.597007744686),"2,158",M,100,A,"2117 ARBORWOOD LN, 80524",,700454881,SubAddress,,23RAL,0,794,Building,,B2304597,Residential General Alteration,Applied,"2,117",,,ARBORWOOD,LN,,,Install 3.65kW roof mount PV solar (9 Panels). Job Contact: Zach Rothenbuehler 907-412-0210,2117   ARBORWOOD LN,105,&capID1=23RAL&capID2=00000&capID3=00794,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23RAL&capID2=00000&capID3=00794&agencyCode=FTCOLLINS,,USA,"3,128,281.25",,,,,LN,0,0,,0,,2117,ARBORWOOD,80524,,0,,0,,2117 ARBORWOOD LN,"1,460,660.40",0,,0,
,"2,332",U,0,A,,,,,,22CAP,0,000EE,Building,X424,SP02365,Stock Plan,Approved,,,,,,,,2021 code review,,,&capID1=22CAP&capID2=00000&capID3=000EE,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22CAP&capID2=00000&capID3=000EE&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
POINT (-105.071025512672 40.575006561906),"1,705",M,100,A,"417 LOCUST ST, 80524",,219600000,SubAddress,,22COM,0,366,Building,,B2204958,Residential New Secondary Building,Issued Full,417,,,LOCUST,ST,,,"Construct a 12'x24' new detached workshop on skids, 288 sf. Job Contact: David Luedtke 720-933-0231",417   LOCUST ST,,&capID1=22COM&capID2=00000&capID3=00366,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22COM&capID2=00000&capID3=00366&agencyCode=FTCOLLINS,,USA,"3,119,167.80",,,,,ST,0,0,,0,,417,LOCUST,80524,,0,,0,,417 LOCUST ST,"1,452,601.93",0,,0,
POINT (-105.06776957007 40.597735290395),203,M,100,A,"557 OSIANDER ST, 80524",,644090000,SubAddress,,22COM,0,457,Building,OLD TOWN NORTH,B2206863,Residential New Duplex,Issued Full,557,,,OSIANDER,ST,,,"New 2-story 2855 sf duplex (two-family dwelling) with 675 sf finished basement, 393 sf unfinished basement and attached 596 garage. NFPA13D reviewed by PFA. Noco Custom home to complete framing. Job Contact - Jason Jones - 970-581-0481",557   OSIANDER ST,,&capID1=22COM&capID2=00000&capID3=00457,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=22COM&capID2=00000&capID3=00457&agencyCode=FTCOLLINS,,USA,"3,120,031.90",,,,,ST,0,0,,0,,557,OSIANDER,80524,,0,,0,,557 OSIANDER ST,"1,460,886.61",0,,0,
POINT (-105.123312585274 40.547391743722),"1,191",M,100,A,"2921 MOORE LN, 80526",,383050000,SubAddress,,21COM,0,575,Building,,B2110156,Residential New Secondary Building,Issued Full,"2,921",,,MOORE,LN,,,Construct a 768 square foot unheated detached garage with electrical. Homeowner affidavit on file.,2921   MOORE LN,,&capID1=21COM&capID2=00000&capID3=00575,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=21COM&capID2=00000&capID3=00575&agencyCode=FTCOLLINS,,USA,"3,104,685.79",,,,,LN,0,0,,0,,2921,MOORE,80526,,0,,0,,2921 MOORE LN,"1,442,475.65",0,,0,
POINT (-105.067594988591 40.57557439736),"1,018",M,100,A,"614 LOCUST ST, 80524",,220700000,SubAddress,,15COM,0,653,Building,,B1508996,Residential New Secondary Building,Re-Issued Full,614,,,LOCUST,ST,,,"New one story, 600 sq ft accessory building with habitable space to include 1 bedroom, 1 full bathroom and 1 wet bar. (No cooking appliances allowed in structure) This is not a dwelling unit. Loft area will be constructed above main floor. Wood burning fireplace (Phase II) to be installed (must be EPA rated)  Will use existing services from the house. City water. Homeowner affidavit on file. Materials list on file. Job Contact: John Davison 970-221-5356.",614   LOCUST ST,,&capID1=15COM&capID2=00000&capID3=00653,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=15COM&capID2=00000&capID3=00653&agencyCode=FTCOLLINS,,USA,"3,120,119.75",,,,,ST,0,0,,0,,614,LOCUST,80524,,0,,0,,614 LOCUST ST,"1,452,813.42",0,,0,
POINT (-105.029205537692 40.52078917092),888,M,100,A,"2502 TIMBERWOOD DR, 80528",,2730001,SubAddress,,HIS99,0,40307,Building,WILDWOOD TOWNHOMES PUD,B970611,Residential New Single Family Attached,Issued TCO,"2,502",,,TIMBERWOOD,DR,,,NEW TOWNHOME  STOCK PLAN 814,2502   TIMBERWOOD DR,1,&capID1=HIS99&capID2=00000&capID3=40307,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=HIS99&capID2=00000&capID3=40307&agencyCode=FTCOLLINS,,USA,"3,130,935.26",,,,,DR,0,0,,0,,2502,TIMBERWOOD,80528,,0,72,0,,2502 TIMBERWOOD DR,"1,432,779.84",0,,0,
,"2,163",U,0,A,,,,,,17CAP,0,000FV,Building,,SP02002,Stock Plan,Approved,,,,,,,,,,,&capID1=17CAP&capID2=00000&capID3=000FV,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=17CAP&capID2=00000&capID3=000FV&agencyCode=FTCOLLINS,,,0,,,,,,0,0,,0,,,,,,0,,0,,,0,0,,0,
POINT (-105.038445740016 40.598159424238),"2,191",M,100,A,"827 WATERTHRUSH LN, 80524",,700455093,SubAddress,,23RAL,0,776,Building,,B2304574,Residential General Alteration,Applied,827,,,WATERTHRUSH,LN,,,Installation of a 4.05 KW and 10 panel PV System,827   WATERTHRUSH LN,57,&capID1=23RAL&capID2=00000&capID3=00776,https://accela-aca.fcgov.com/CitizenAccess/Cap/CapDetail.aspx?Module=Building&TabName=Building&capID1=23RAL&capID2=00000&capID3=00776&agencyCode=FTCOLLINS,,USA,"3,128,171.54",,,,,LN,0,0,,0,,827,WATERTHRUSH,80524,,0,,0,,827 WATERTHRUSH LN,"1,461,086.92",0,,0,
